Datum,Uhrzeit,Ort,Google Maps Link
19.06.2023,10.00h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
20.06.2023,10.00h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
19.11.2021,9.50h,Hamm Märkisches Gymansium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Märkisches Gymansium, Wilhelm-Liebknecht-Str. 11, 59067 Hamm, Westf"
25.11.2021,9.50h,Hamm Gymnasium Hammonense,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Gymnasium Hammonense, Adenauerallee 2, 59065 Hamm"
26.11.2021,9.50h,Hamm Gymnasium Hammonense,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Gymnasium Hammonense, Adenauerallee 2, 59065 Hamm"
25.01.2022,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
25.01.2022,11.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
26.01.2022,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
26.01.2022,11.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
27.01.2022,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
27.01.2022,11.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
31.01.2022,9.40h,Remscheid Städt. Realschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Remscheid Städt. Realschule, Gruner Straße 12, 42857 Remscheid"
31.01.2022,11.10h,Remscheid Städt. Realschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Remscheid Städt. Realschule, Gruner Straße 12, 42857 Remscheid"
